name,position,era,speed,dribbling,shooting,defense,physical,iq,team
José Manuel Reina,CDM,2014,78,71,72,82,87,85,AC Milan
Neymar,CB,2004,78,61,61,99,85,81,Manchester United
Thilo Kehrer,GK,2004,76,31,40,97,86,93,AC Milan
Roberto Firmino,RB,2010,89,61,70,92,90,81,Chelsea
Hulk,LW,2006,85,82,93,56,84,97,Manchester United
Giorgio Chiellini,LW,2006,92,75,82,38,80,93,Manchester United
Luka Modrić,CAM,2006,90,86,72,82,83,89,AC Milan
Graeme Souness,CM,2014,80,78,65,73,85,94,Bayern Munich
Enner Valencia,CB,2010,90,60,68,99,94,94,Chelsea
Casemiro,CB,2004,89,77,62,90,97,96,Inter Milan
Fabrice Barthez,CDM,2006,86,73,68,77,83,88,Arsenal
Erling Haaland,CAM,2006,84,90,72,64,83,79,Manchester United
Fred,LW,2004,95,93,96,46,97,79,Arsenal
Nigel de Jong,CDM,2022,91,73,85,63,90,90,Arsenal
Willy Sagnol,ST,2010,86,82,90,37,85,86,Manchester United
Paul Breitner,CDM,2006,87,75,82,70,82,87,Real Madrid
Gerard Piqué,ST,2014,90,80,83,44,77,84,Barcelona
Shinji Ono,ST,2018,89,89,96,56,77,92,Chelsea
Fabinho,RB,2022,80,64,69,88,79,89,Napoli
Kevin Keegan,LB,2022,86,63,63,92,98,98,Liverpool
Ali Daei,RB,2022,87,65,52,90,84,86,AC Milan
Hugo Lloris,LW,2018,88,92,95,49,97,84,Chelsea
Jefferson Farfán,ST,2006,89,93,83,56,95,85,Napoli
Jorginho,GK,2018,73,49,23,92,89,86,Paris SG
Juan Mata,LB,2014,78,73,62,89,87,98,AC Milan
Emlyn Hughes,CM,2014,78,79,65,80,92,87,Napoli
Dwight Yorke,ST,2010,88,92,88,42,75,82,Paris SG
Teddy Sheringham,CM,2022,92,86,69,80,84,84,Liverpool
Sergei Ignashevich,LB,2006,81,72,53,89,87,80,Liverpool
Ronald de Boer,LW,2022,86,88,85,54,80,88,Inter Milan
Johan Neeskels,CB,2022,88,77,66,96,81,84,Paris SG
Leon Goretzka,CAM,2010,84,80,76,70,98,94,Arsenal
Arturo Vidal,LB,2006,86,75,53,94,77,88,AC Milan
Renan Lodi,GK,2010,82,51,23,90,78,90,Juventus
Álvaro Morata,LW,2022,92,79,85,42,85,89,Napoli
Gianluigi Donnarumma,LW,2022,84,91,84,58,77,84,Napoli
Pepe,GK,2004,75,54,21,97,98,86,Real Madrid
Kazuyoshi Miura,LB,2010,82,62,52,95,76,87,Chelsea
Gabriel Jesus,CDM,2006,92,86,82,63,94,81,Arsenal
Bastian Schweinsteiger,CM,2006,83,79,66,85,78,90,Inter Milan
Marco van Basten,GK,2014,70,54,40,97,95,85,Inter Milan
Gary Medel,ST,2010,90,89,93,50,97,79,Paris SG
Ivan Rakitić,CDM,2006,82,89,65,68,76,93,Chelsea
Alexis Mac Allister,CDM,2014,90,90,80,80,84,97,Paris SG
Oscar,LW,2022,83,88,83,29,78,96,Napoli
Kingsley Coman,CM,2004,94,73,87,77,87,88,Bayern Munich
Cesc Fàbregas,RB,2022,76,80,65,97,90,80,AC Milan
Blaise Matuidi,CDM,2022,86,84,87,62,84,81,Arsenal
Ivan Varadin,LB,2022,82,73,66,85,89,80,Manchester United
Luis García,RB,2022,80,73,50,95,93,81,AC Milan
Bobby Moore,LB,2022,87,61,65,94,86,85,Inter Milan
Cristiano Ronaldo,LW,2022,90,82,92,30,93,84,Liverpool
Juan Riquelme,CM,2018,87,80,85,60,87,82,Juventus
N'Golo Kanté,CAM,2018,78,90,69,61,95,92,Paris SG
Ángel Di María,CDM,2010,80,71,73,85,81,81,AC Milan
Karl-Heinz Rummenigge,RB,2006,83,65,66,92,79,91,Chelsea
Sergio Batista,CM,2014,82,87,78,70,87,86,Manchester United
Enzo Fernández,CDM,2018,79,87,67,64,98,93,Barcelona
Juan Román Riquelme,CB,2010,84,77,62,95,86,88,Juventus
Reece James,ST,2004,88,78,88,31,80,97,Napoli
Alphonse Areola,CB,2004,82,60,66,97,76,89,Bayern Munich
Kepa Arrizabalaga,LB,2018,79,63,49,97,90,86,Inter Milan
Samuel Eto'o,ST,2022,94,76,89,57,90,80,Chelsea
Pablo Sarabia,CM,2022,86,78,85,83,80,98,Real Madrid
Juan Pablo Sorín,CM,2022,87,82,75,68,96,89,Inter Milan
Karl-Heinz Förster,CDM,2018,94,87,81,74,92,89,Napoli
Gonzalo Higuaín,CB,2010,75,67,46,87,93,87,Napoli
Alan Hansen,LB,2014,81,69,47,99,79,87,Bayern Munich
Antonio Candreva,LB,2006,81,62,66,89,93,90,Barcelona
Achraf Hakimi,CDM,2014,92,83,82,79,79,80,Chelsea
Christian Benavente,LW,2006,82,80,98,33,97,82,Inter Milan
Juan Manuel Ibarbo,CB,2018,84,62,50,99,98,89,Bayern Munich
Naby Keita,CDM,2010,78,88,82,60,97,88,Napoli
Shunsuke Nakamura,ST,2022,88,83,83,50,79,98,Arsenal
Marco Materazzi,CDM,2018,80,81,70,83,92,87,Arsenal
Sergio Busquets,CAM,2006,85,84,67,77,81,94,Manchester United
Jaime Moreno,CAM,2022,87,90,75,69,80,81,Barcelona
Harry Maguire,LW,2018,95,77,83,38,78,91,Juventus
Jesús Navas,ST,2006,92,80,93,29,89,89,Barcelona
Lionel Messi,CM,2004,92,88,81,74,82,84,Juventus
Frank Leboeuf,CB,2022,78,64,45,96,86,91,Bayern Munich
Giacinto Facchetti,ST,2010,95,78,96,59,81,84,Juventus
Roberto Carlos,LW,2010,89,91,96,55,97,98,Manchester United
Paul Scholes,CDM,2018,94,74,69,83,96,98,Chelsea
James Milner,LB,2022,86,78,56,91,95,95,Paris SG
Diogo Jota,ST,2018,82,80,83,29,97,78,AC Milan
Trent Alexander-Arnold,CAM,2014,94,72,70,84,94,78,Paris SG
George Weah,CAM,2010,82,87,72,74,82,90,AC Milan
Thomas Müller,ST,2014,88,91,90,49,77,94,Arsenal
James Rodríguez,GK,2018,78,34,29,93,83,90,Napoli
Gianni Rivera,RB,2022,90,61,69,90,80,85,Napoli
Raphael Varane,GK,2014,82,47,41,91,81,97,Napoli
Marco Asensio,LB,2004,76,67,64,89,89,91,Real Madrid
Olivier Giroud,LB,2018,75,80,56,87,81,97,Bayern Munich
Claude Makélélé,ST,2014,87,88,95,37,90,81,Paris SG
Isco Alarcón,RB,2022,82,70,48,93,88,78,Inter Milan
Marcus Rashford,CAM,2014,85,91,85,75,98,89,Juventus
Diego Forlán,CDM,2010,80,71,66,71,81,97,Inter Milan
David Villa,CAM,2010,87,86,71,72,82,89,Barcelona
Rodri,CB,2010,77,69,46,85,87,81,Chelsea
Andrés Iniesta,CAM,2006,89,80,86,70,87,97,Paris SG
Álvaro Recoba,CDM,2006,84,76,72,84,94,86,Bayern Munich
Antoine Griezmann,CAM,2018,90,70,75,75,96,84,Real Madrid
Therry Henry,CAM,2014,81,74,73,81,78,94,Manchester United
Raí,RB,2014,84,60,50,93,95,93,Arsenal
Paul Pogba,CM,2022,89,91,80,76,91,94,Arsenal
Rio Ferdinand,RB,2018,84,71,70,88,78,87,Chelsea
Jorge Valdano,ST,2010,92,94,86,36,76,79,Juventus
Carlos Tévez,RB,2018,76,64,49,97,93,88,Paris SG
Fredy Guarín,CM,2006,79,76,83,60,98,96,Manchester United
Eden Hazard,ST,2010,89,77,91,27,83,90,Inter Milan
Dedryck Boyata,LB,2004,82,68,68,87,95,98,Arsenal
Ivan Perisic,LW,2018,93,88,98,50,85,81,Bayern Munich
Gilberto Silva,CB,2022,90,60,68,90,79,85,Manchester United
George Best,CDM,2010,85,86,88,73,93,93,AC Milan
Héctor Enrique,CM,2004,89,83,69,84,82,87,Chelsea
Daniele De Rossi,CAM,2010,81,70,69,71,90,81,Juventus
Sergio Ramos,CM,2006,83,85,75,85,87,79,Napoli
Frank Rijkaard,CB,2006,75,73,70,99,88,94,Manchester United
Juan Foyth,RB,2022,82,80,54,94,91,98,Paris SG
Gerd Müller,LW,2018,93,95,90,53,79,79,Paris SG
Jan Vertonghen,CAM,2004,79,86,77,62,79,78,Inter Milan
Mason Mount,LW,2004,95,87,84,37,93,86,Napoli
Claudio Bravo,LW,2006,96,77,93,47,95,85,Barcelona
Kleberson,ST,2010,88,86,83,40,91,95,Barcelona
Paulo Dybala,CM,2006,88,79,88,78,75,97,Napoli
Maxwell,CDM,2014,78,91,82,76,75,98,Chelsea
Eder Militão,CDM,2014,82,82,76,68,81,88,Barcelona
Philipp Lahm,CAM,2018,91,82,88,85,94,88,Liverpool
Kyle Walker,LB,2006,87,80,49,88,91,93,Real Madrid
Ryan Giggs,CAM,2004,93,73,68,76,85,98,Paris SG
Gonzalo Jara,LW,2014,88,93,84,38,90,96,Barcelona
Hidetoshi Nakata,CAM,2010,81,72,80,81,76,93,Bayern Munich
Yangel Herrera,CAM,2014,79,92,69,72,88,81,Liverpool
Alessandro Nesta,CAM,2018,91,80,69,66,92,78,AC Milan
Lucio,LB,2004,82,74,64,95,81,83,Arsenal
Lucas Hernández,RB,2006,88,79,65,87,94,83,Juventus
Diego Costa,ST,2004,90,75,90,58,98,88,Arsenal
Danilo,LW,2022,95,79,89,39,89,95,Paris SG
Benjamin Pavard,LB,2014,78,68,63,89,85,89,Napoli
Jordi Alba,LB,2004,83,61,46,87,82,88,Liverpool
Fabio Cannavaro,LW,2018,91,91,85,26,81,82,Juventus
Toni Kroos,CAM,2014,88,75,79,72,81,78,Manchester United
Barry Davies,CM,2004,91,78,84,67,78,94,Juventus
Guido Rodríguez,LW,2022,92,82,85,43,76,94,AC Milan
David Luiz,GK,2022,72,50,32,95,95,98,Arsenal
Holger Badstuber,GK,2004,70,34,27,95,96,89,Inter Milan
Ruud Gullit,LW,2006,82,85,91,48,89,80,Manchester United
Harvey Elliott,CB,2006,76,78,64,89,98,98,Real Madrid
Elías Figueroa,CM,2004,82,71,72,63,82,79,Real Madrid
Dayot Upamecano,ST,2006,90,77,86,53,95,98,Barcelona
Berti Vogts,CDM,2014,78,81,75,60,82,91,Paris SG
Antonio Rudiger,CAM,2004,80,77,69,63,96,91,Arsenal
Robert Lewandowski,RB,2014,81,61,66,95,80,78,AC Milan
Nani,CB,2018,86,70,63,93,86,78,Real Madrid
Mark Lawrenson,LW,2006,91,75,82,51,89,94,AC Milan
Radamel Falcao,ST,2010,86,93,98,28,78,84,Inter Milan
Ferenc Puskás,CB,2018,79,68,52,94,89,80,Chelsea
John Wark,RB,2014,85,77,61,86,94,79,Juventus
Maarten Stekelenburg,CB,2018,90,66,65,89,77,79,Juventus
Bixente Lizarazu,GK,2006,81,34,21,95,85,82,Paris SG
Bobby Charlton,CM,2014,91,81,70,67,80,78,Bayern Munich
Uli Hoeness,ST,2022,86,83,87,25,77,92,Inter Milan
John Terry,CAM,2014,85,71,77,64,94,87,Juventus
Lisandro Martínez,CDM,2006,84,92,81,75,78,78,Chelsea
Wim Kieft,CAM,2022,87,86,66,71,77,80,Juventus
Frank Lampard,CM,2004,93,81,88,82,86,95,Arsenal
Paolo Guerrero,LW,2022,88,75,88,45,90,92,Arsenal
Yasuhito Endo,LW,2014,85,93,95,30,88,85,Arsenal
Bernardo Silva,CM,2006,90,82,78,63,83,82,AC Milan
Rafael van der Vaart,RB,2006,85,76,56,92,97,81,Inter Milan
Ernst Happel,ST,2010,90,93,85,54,83,78,Napoli
William Carvalho,LW,2014,82,90,83,43,81,90,Chelsea
Marquinhos,CAM,2014,90,76,86,70,77,85,Bayern Munich
Cesar Azpilicueta,CM,2018,80,82,68,61,75,81,Arsenal
Robinho,CAM,2004,85,89,85,80,98,78,Barcelona
Gianluca Zambrotta,CM,2018,89,89,66,83,76,95,Inter Milan
Toby Alderweireld,CAM,2006,93,86,75,83,95,97,Juventus
Ben Chilwell,LB,2014,76,78,62,87,92,90,Manchester United
Aurélien Tchouaméni,RB,2014,87,64,53,98,81,86,Juventus
Serge Gnabry,GK,2022,78,50,35,94,87,81,Arsenal
Laurent Blanc,CB,2014,78,78,69,95,85,91,Bayern Munich
Cristian Romero,CDM,2010,93,73,85,81,88,83,Barcelona
Sadio Mané,CDM,2006,79,74,65,81,75,89,Napoli
Ederson,CAM,2014,91,76,69,83,97,86,Inter Milan
Neymar Jr,ST,2022,89,81,93,31,87,86,Barcelona
Makoto Hasebe,LW,2010,82,83,83,34,82,94,Paris SG
Alisson Becker,ST,2022,87,87,89,51,79,81,Napoli
Leroy Sané,ST,2018,90,81,91,35,92,86,Arsenal
Yuri Zhirkov,CAM,2004,80,73,76,61,92,92,Barcelona
David Alaba,CB,2010,84,60,64,96,81,94,Juventus
Richarlison,ST,2014,94,90,83,40,88,86,Bayern Munich
Sergio Agüero,RB,2004,80,72,65,86,86,82,Bayern Munich
Sami Khedira,LB,2018,78,71,63,94,79,96,Manchester United
Cafu,LB,2022,78,69,65,88,75,88,Barcelona
Cicinho,CDM,2004,91,78,77,82,79,82,Barcelona
Joel Matip,ST,2006,91,81,96,58,77,85,AC Milan
Lukas Podolski,LW,2004,82,86,96,52,83,87,Bayern Munich
Marcus Tutte,CDM,2014,90,76,71,75,87,96,Inter Milan
Stan Collymore,CB,2006,79,63,68,99,98,94,Juventus
Roman Shirokov,CB,2014,76,80,69,89,75,89,Inter Milan
Eric Cantona,CM,2014,80,89,86,79,94,93,Bayern Munich
Julián Álvarez,CDM,2018,84,85,82,74,84,86,Juventus
Wesley Sneijder,CM,2010,91,90,72,73,93,84,Juventus
José Fonte,LW,2014,87,87,85,45,93,80,Bayern Munich
Leandro Paredes,CAM,2004,91,81,78,63,91,83,Real Madrid
Sergio Livingstone,LW,2010,96,88,97,33,85,83,Barcelona
Patrick Vieira,CAM,2006,78,83,81,64,97,97,Barcelona
Fernando Torres,LW,2010,93,84,88,37,96,97,Arsenal
Mark Hughes,CM,2022,78,88,75,61,75,98,Bayern Munich
Vinicius Jr,CDM,2018,78,82,78,85,82,95,Paris SG
Mario Kempes,LB,2022,80,67,47,97,84,79,Inter Milan
Youri Djorkaeff,CAM,2014,85,74,77,65,79,89,Liverpool
Nacho Fernández,CM,2006,86,78,86,67,84,98,Bayern Munich
Pedro,CB,2004,85,64,54,91,84,83,Juventus
Claudio Marchisio,CDM,2018,79,89,74,60,97,83,Juventus
Peter Beardsley,LW,2006,92,89,92,56,97,79,Paris SG
Wayne Rooney,CDM,2014,90,87,85,63,88,84,Arsenal
Arjen Robben,CAM,2010,88,71,76,62,96,80,Real Madrid
Eusébio da Silva Ferreira,CB,2014,90,76,69,91,79,95,Juventus
Teófilo Cubillas,CM,2022,82,84,87,66,76,89,Chelsea
Gabriel Magalhães,GK,2006,74,47,24,88,80,89,Manchester United
Ronaldinho,CB,2006,79,75,56,85,83,79,Real Madrid
Franck Ribéry,CDM,2022,93,83,68,68,77,98,Paris SG
Jorge Campos,CM,2004,83,80,82,82,91,80,Napoli
Luke Shaw,CDM,2004,82,84,79,67,82,84,Manchester United
Kevin De Bruyne,CAM,2018,93,81,74,70,86,87,Juventus
Xherdan Shaqiri,RB,2018,80,79,45,91,91,98,Manchester United
Nicolas De La Cruz,CDM,2022,82,81,68,85,96,83,Juventus
Phil Foden,GK,2004,79,50,39,93,78,85,Juventus
Ibrahimović Zlatan,CB,2022,83,69,64,88,89,91,Bayern Munich
Steve McManaman,LB,2018,85,78,45,93,98,96,Paris SG
Luis Suárez,CM,2022,80,86,82,64,81,81,Paris SG
Karim Benzema,LB,2014,89,74,70,97,82,93,Manchester United
Kenny Dalglish,LB,2022,89,73,51,93,77,93,Arsenal
Diego Milito,LW,2004,94,79,97,59,84,85,AC Milan
Filippo Inzaghi,CM,2004,86,82,68,75,97,86,Paris SG
Andy Cole,ST,2004,94,76,85,42,98,96,Barcelona
Carlos Valderrama,ST,2018,92,82,96,43,95,97,Manchester United
Ilkay Gündogan,CDM,2014,89,83,66,75,83,98,Barcelona
Ian Callaghan,GK,2018,78,47,35,91,79,84,Chelsea
Steven Gerrard,CDM,2006,87,90,70,64,79,81,Inter Milan
Rúben Neves,LW,2014,96,83,82,30,80,84,Manchester United
Medhi Benatia,CB,2014,76,65,67,87,76,86,Liverpool
Jordan Henderson,LB,2004,83,64,46,95,84,87,Bayern Munich
Abedi Pelé,LW,2014,94,76,88,45,76,83,AC Milan
Jaap Stam,ST,2006,90,75,85,30,85,94,Napoli
Claudio Pizarro,CDM,2018,82,88,66,76,84,80,Juventus
Nemanja Vidic,CM,2010,85,88,76,85,82,97,Bayern Munich
Craig Johnston,CB,2006,76,78,64,96,79,88,Real Madrid
David Silva,CDM,2022,82,88,88,66,81,81,Chelsea
Ronnie Whelan,LW,2022,96,95,82,55,95,90,Manchester United
Aleksandr Smertin,CM,2014,89,87,87,72,94,88,Napoli
Paul Ince,ST,2006,87,95,97,31,89,85,Napoli
Mario Mandžukić,LW,2004,88,83,88,35,95,98,Bayern Munich
Giorgian Meladze,LB,2006,81,72,56,99,81,85,Paris SG
Steve Mandanda,CDM,2004,89,78,86,61,93,91,Paris SG
Petr Čech,RB,2014,90,62,70,90,93,85,Manchester United
David de Gea,CB,2006,76,63,57,99,98,87,Barcelona
Nicolas Anelka,LW,2022,87,81,93,60,95,83,Juventus
Edwin van der Sar,LW,2006,95,81,85,33,96,89,Inter Milan
Samuel Umtiti,CM,2004,93,80,75,74,75,96,Napoli
Peter Crouch,ST,2014,82,84,90,25,98,78,Liverpool
Alphonso Davies,ST,2010,83,91,85,29,94,87,Bayern Munich
Maicon,ST,2006,82,81,95,59,96,93,Chelsea
Nicolás Otamendi,CAM,2004,93,79,69,66,80,91,Chelsea
Ricardo Quaresma,ST,2018,90,80,83,43,90,79,Napoli
Mohamed Salah,RB,2006,82,60,66,96,79,96,AC Milan
Thiago Silva,CM,2010,80,91,75,81,96,85,AC Milan
Virgil van Dijk,RB,2004,89,62,58,85,78,94,Barcelona
Ruben Dias,LW,2010,90,86,87,49,84,81,Inter Milan
Vincent Kompany,ST,2010,90,81,95,48,90,82,Chelsea
Aaron Wan-Bissaka,CB,2022,75,69,58,91,77,93,Bayern Munich
Julio Cesar,GK,2006,79,31,38,98,92,87,Juventus
Roque Santa Cruz,GK,2004,70,38,20,96,91,86,Manchester United
Trevor Brooking,CDM,2010,78,75,77,79,95,88,Inter Milan
Robert Pires,LB,2022,89,66,49,91,76,84,Juventus
Olivier Kapo,CB,2006,75,73,47,92,85,83,Barcelona
Andrey Arshavin,CDM,2018,91,73,86,69,92,84,Manchester United
Javi Martínez,CB,2010,75,61,65,91,97,88,Real Madrid
Jackson Martínez,CM,2010,92,90,87,73,96,98,Napoli
Mesut Özil,CAM,2010,93,83,87,63,89,81,AC Milan
Youri Tielemans,LW,2022,87,75,92,42,91,79,Bayern Munich
Rivaldo,ST,2010,84,81,90,56,98,92,Real Madrid
Javier Mascherano,RB,2014,88,71,50,86,98,83,Juventus
Thierry Henry,ST,2006,82,90,87,46,86,91,Barcelona
Gonzalo Montiel,CM,2018,91,87,79,75,88,79,AC Milan
Alexis Sánchez,CB,2022,77,64,51,87,83,80,AC Milan
Dani Alves,GK,2004,73,54,45,95,77,89,Real Madrid
Dennis Bergkamp,LW,2018,82,78,84,39,82,88,Napoli
Stanley Matthews,CM,2010,81,75,76,81,82,95,Manchester United
Igor Akinfeev,RB,2010,88,74,49,85,75,97,Paris SG
Peter Schmeichel,LW,2006,96,77,91,59,82,92,AC Milan
Didier Drogba,CAM,2006,83,76,81,80,89,82,Napoli
Naohiro Takahara,LW,2004,88,94,90,38,92,78,Inter Milan
Paolo Maldini,LB,2018,77,73,68,86,92,80,Napoli
Nemanja Matić,CDM,2010,81,90,69,78,88,92,Bayern Munich
Kaka,ST,2014,85,92,88,54,78,78,AC Milan
Salvador Cabañas,CM,2004,92,81,69,60,90,81,Juventus
Andrea Barzagli,GK,2010,76,34,43,91,97,91,Real Madrid
Alan Dzagoev,RB,2004,79,75,52,97,77,93,Arsenal
Sepp Maier,LB,2004,79,70,51,89,80,78,Napoli
Gianluigi Buffon,CAM,2004,78,76,88,74,76,78,Real Madrid
Alisson,CM,2014,85,79,77,75,91,84,Juventus
Frederic Kanoute,LW,2014,92,83,91,50,91,85,Paris SG
Nahuel Molina,CAM,2022,86,80,66,73,80,92,Paris SG
Carles Puyol,CDM,2014,80,72,72,82,85,79,Napoli
Emiliano Martínez,ST,2018,96,81,96,40,92,95,Chelsea
Manuel Neuer,CDM,2014,82,88,80,62,97,97,Chelsea
Dirk Kuyt,CM,2014,88,71,79,60,91,98,Napoli
Douglas Costa,CAM,2006,84,75,80,85,77,83,AC Milan
José Luis Chilavert,LB,2022,79,75,59,86,78,88,Chelsea
Bruno Guimaraes,ST,2014,87,80,89,25,96,85,AC Milan
João Cancelo,ST,2022,82,86,84,29,79,85,Manchester United
Alberto Gilardino,CAM,2022,83,79,76,71,88,97,Liverpool
Juan Arango,GK,2006,73,52,37,93,86,86,Inter Milan
Alfredo Di Stéfano,ST,2022,87,81,87,51,88,81,AC Milan
Giorgian de Arrascaeta,CAM,2014,93,76,72,80,80,88,Inter Milan
Kylian Mbappé,RB,2010,80,71,65,85,81,86,Chelsea
Lilian Thuram,ST,2006,82,87,97,28,95,82,Napoli
Lev Yashin,LW,2014,96,83,98,35,88,85,Real Madrid
Mark van Bommel,CAM,2010,85,76,86,74,94,86,Inter Milan
Mats Hummels,ST,2006,91,91,92,33,93,82,AC Milan
Joshua Kimmich,ST,2004,94,84,92,38,88,87,Inter Milan
