name,position,era,speed,dribbling,shooting,defense,physical,iq,team
Cristiano Ronaldo,CB,2018,83,76,60,90,90,78,Bayern Munich
Bacary Sagna,CDM,2006,79,79,70,61,86,93,Bayern Munich
Sagna,RB,2018,84,64,53,92,83,84,Chelsea
Olivier Kapo,LW,2018,88,76,93,38,75,93,Real Madrid
Steve McManaman,CB,2018,76,71,55,88,90,78,Manchester United
Simão Sabrosa,RB,2014,81,63,51,97,82,91,Chelsea
Franck Ribery,RB,2006,90,79,59,93,76,89,Barcelona
Hans-Jürgen Cramer,CM,2022,86,89,87,62,86,90,AC Milan
Raúl Meireles,CB,2010,86,70,57,94,82,96,Napoli
Papiss Cissé,RB,2014,80,74,68,97,89,85,Inter Milan
Frédéric Kanoute,CB,2014,90,64,50,91,83,93,Juventus
Sergio Romero,CM,2018,80,77,77,74,94,93,Juventus
Luis Suárez,RB,2006,88,70,50,85,79,94,Manchester United
Juan Manuel Ibarbo,CM,2010,83,83,86,76,84,95,Arsenal
Mario Gómez,CDM,2018,88,81,85,61,81,91,Manchester United
Bruno Fernandes,LB,2018,85,77,70,95,93,93,Chelsea
Matías Fernández,LB,2006,76,76,63,94,84,93,Juventus
Elías Figueroa,CM,2022,93,76,74,66,84,86,Liverpool
David Alaba,LW,2018,93,83,84,46,87,78,Manchester United
Stefan Mitrović,CDM,2014,90,80,66,70,75,88,Barcelona
Roberto Firmino,CDM,2014,84,78,88,62,76,97,Real Madrid
Bruno Alves,CDM,2010,91,79,68,66,95,92,Liverpool
Lucas Paqueta,ST,2022,91,76,88,33,80,95,Napoli
Abelardo Fernandez,CDM,2018,90,71,72,80,94,90,Napoli
Lopes Anthony,LB,2010,86,68,53,90,86,80,Napoli
Mateja Kezman,LW,2022,86,78,85,32,78,84,Inter Milan
Frederic Kanouté,CAM,2006,80,91,87,62,84,90,Chelsea
Luis Suarez,CM,2010,80,78,88,85,96,85,Liverpool
Robbie Fowler,CDM,2014,81,75,88,72,75,85,Inter Milan
Andrey Arshavin,RB,2014,82,75,61,85,98,89,Chelsea
Gueule de Bois,ST,2014,87,87,91,26,84,89,Juventus
Radamel Falcao,CDM,2022,84,78,85,73,76,82,Manchester United
Thomas Müller,CM,2022,94,70,66,74,95,91,AC Milan
Kolo Touré,LB,2006,84,66,63,86,86,92,Arsenal
Alessandro Nesta,LB,2010,80,77,46,95,95,94,Bayern Munich
Ngolo Kante,ST,2010,83,76,97,36,83,94,Barcelona
Joel Matip,LW,2014,86,91,89,26,81,86,Liverpool
Thilo Kehrer,CAM,2018,86,82,74,79,94,98,Juventus
Ricardo Quaresma,CM,2014,92,71,72,63,77,88,Bayern Munich
Dirk Kuyt,RB,2010,83,71,70,88,77,89,Napoli
Sylvain Wiltord,GK,2014,81,55,20,92,83,86,Liverpool
Carvajal,LW,2018,85,80,98,49,92,80,Manchester United
Gonzalo Bergessio,CAM,2014,88,88,81,81,85,89,Barcelona
Gennaro Gattuso,ST,2006,83,81,90,36,87,88,Paris SG
Carlos Tevez,ST,2014,88,90,88,38,97,95,Juventus
Henrique Neguinho,LB,2014,87,60,53,97,89,79,Chelsea
Aleksandr Smertin,LW,2014,85,84,92,54,80,89,Liverpool
Hugo Lloris,ST,2010,83,76,88,55,77,91,Juventus
Andrés D'Alessandro,LB,2018,75,75,60,93,86,97,Inter Milan
Gary Neville,ST,2010,85,90,87,56,97,96,Liverpool
Angel Di Maria,CM,2006,86,83,85,61,87,85,Arsenal
Rodri,CB,2006,85,61,50,85,95,88,Chelsea
Ismaël Bangoura,CB,2018,82,60,66,87,87,87,Liverpool
Steve Heighway,CAM,2018,90,82,77,76,93,90,Real Madrid
Joshua Kimmich,ST,2014,93,82,87,26,94,83,Manchester United
Mathieu Valbuena,CM,2022,82,77,75,75,78,79,Arsenal
Ángel Di María,CB,2010,76,68,59,97,95,93,Napoli
Danilo,ST,2018,89,78,83,27,78,86,Real Madrid
Therry Henry,CM,2014,90,86,69,63,82,81,Napoli
Marco van Basten,LB,2006,81,71,69,88,80,89,Real Madrid
Demps,LW,2014,89,78,90,55,85,88,Inter Milan
Agustin Fontana,RB,2014,83,79,55,95,85,81,Chelsea
Mario Mandic,LW,2006,85,89,92,36,93,78,Inter Milan
Shunsuke Nakamura,RB,2006,80,73,51,99,93,84,Paris SG
Ronaldo Nazario,LW,2014,93,94,85,29,88,91,Liverpool
Romário,CDM,2018,87,84,76,76,83,92,Juventus
Renan Lodi,CM,2006,87,73,73,71,79,89,Barcelona
João Moutinho,LW,2014,85,83,85,39,79,91,Chelsea
Eden Hazard,CB,2014,81,67,60,94,98,85,Manchester United
Sergio Livingstone,CB,2022,90,72,60,88,93,98,Manchester United
Uli Hoeness,CAM,2014,87,76,73,68,92,82,Bayern Munich
Claudio Bravo,CB,2014,82,74,50,96,86,98,Real Madrid
Stam Jaap,CDM,2018,93,75,70,75,86,88,Paris SG
Álvaro González,CDM,2014,86,82,73,67,90,87,Napoli
Ali Daei,RB,2018,76,64,62,92,90,82,AC Milan
Naby Keita,RB,2010,79,60,66,87,85,94,Juventus
Harvey Elliott,CB,2018,87,69,56,85,82,84,Arsenal
Thomas Muller,RB,2014,84,68,65,98,89,91,Real Madrid
Serge Gnabry,CB,2010,89,77,62,94,85,90,Chelsea
Fernandinho,ST,2018,83,86,94,51,85,94,Arsenal
Alejandro Balde,RB,2018,78,74,45,89,77,96,Manchester United
Ousmane N'Doye,GK,2022,82,52,45,91,96,90,Paris SG
Ley Yashin,LB,2018,83,63,69,96,78,80,Real Madrid
Romário Baldé,CDM,2022,93,80,75,83,92,97,Arsenal
Marquinhos,ST,2010,92,92,93,57,81,89,Napoli
Peter Crouch,CM,2006,93,91,75,75,80,82,Barcelona
Lisandro Martínez,ST,2022,96,78,82,29,95,78,Paris SG
Kenan Kodro,CB,2022,84,64,48,86,97,88,Real Madrid
Gary Medel,CB,2018,88,74,54,92,79,84,Arsenal
Kaka,ST,2010,85,75,84,39,86,98,Napoli
Craig Johnston,LB,2018,75,80,52,95,81,89,Juventus
Kleberson,CM,2014,84,91,85,84,91,96,Manchester United
Ipiales Jefferson,LB,2006,75,64,57,99,77,81,Barcelona
Landon Donovan,CM,2022,81,86,74,74,93,98,Chelsea
Draxler Julian,CB,2006,89,66,45,97,96,94,Napoli
George Best,CB,2014,86,75,60,94,92,82,Chelsea
Jose Manuel Reina,RB,2006,80,76,68,85,84,79,Liverpool
Frank Lampard,LB,2006,76,80,62,95,97,79,Chelsea
Gianlluigi Buffon,LB,2022,88,69,60,97,75,92,Paris SG
Alphonse Areola,LB,2022,79,68,46,86,75,80,AC Milan
Sergei Ignashevich,CDM,2014,91,75,85,70,80,95,Juventus
Peter Beardsley,CB,2018,78,64,55,94,77,88,Arsenal
Vinicius Junior,LB,2014,77,69,59,85,76,96,Real Madrid
Miroslav Stevic,CDM,2010,80,80,79,78,80,87,Chelsea
Rinus Michels,RB,2022,82,76,47,90,93,89,Bayern Munich
Raphael Varane,LB,2022,89,74,57,96,81,84,Real Madrid
Antonio Rudiger,CAM,2010,94,73,82,63,76,81,AC Milan
Esteban Paredes,CAM,2022,89,83,66,72,82,96,Inter Milan
Bixente Lizarazu,CAM,2018,94,86,80,78,80,81,Inter Milan
Lucas Paquetá,CDM,2022,90,87,78,72,79,90,Juventus
Javier Mascherano,CAM,2014,86,78,79,73,97,79,Chelsea
Luís Figo,LW,2018,92,77,93,36,75,91,Bayern Munich
Giorgian Meladze,LW,2010,96,86,87,55,85,82,Paris SG
Nacho Fernandez,CDM,2014,91,78,86,82,80,96,Chelsea
Toni Kroos,ST,2006,88,82,93,41,75,80,Inter Milan
David Beckham,ST,2006,88,78,82,60,93,94,Chelsea
Carlos Valderrama,CB,2022,87,66,56,93,78,88,Real Madrid
Paul Ince,CAM,2022,90,90,88,77,91,91,AC Milan
Pelé,LW,2014,87,95,90,46,92,87,Chelsea
Savo Milošević,LW,2022,91,95,84,49,76,85,Chelsea
Predrag Djordjevic,RB,2006,77,67,51,94,90,96,Chelsea
Marko Milić,LB,2010,83,65,63,97,83,90,Inter Milan
Ole Gunnar Solskjaer,GK,2010,74,37,35,88,81,98,Liverpool
Dimitris Salpigidis,CAM,2006,89,91,69,79,75,98,Juventus
Abedi Pele,LB,2018,84,68,57,93,83,84,Bayern Munich
Zinédine Zidane,LW,2006,96,84,83,27,79,82,Paris SG
Ever Banega,CAM,2010,80,89,87,75,95,91,Real Madrid
Ricky Alvarez,CAM,2014,85,88,76,73,77,95,Real Madrid
Anatolii Kanischev,CAM,2006,94,77,82,76,82,83,Real Madrid
José María Basanta,CAM,2022,90,87,86,63,86,86,Napoli
Nicolás Lodeiro,RB,2014,89,61,45,85,94,95,Manchester United
Isco,CAM,2006,90,73,79,69,94,85,Barcelona
Florian Malouda,CAM,2014,83,84,74,74,78,98,Manchester United
Diego Costa,GK,2010,75,33,35,91,89,78,Arsenal
José Manuel Reina,LB,2014,83,77,57,95,97,79,Bayern Munich
Christian Vieri,CB,2022,77,62,67,94,89,84,Manchester United
Karim Benzema,GK,2010,74,43,21,99,80,87,Chelsea
Karl-Heinz Förster,CAM,2010,92,79,88,76,92,86,Paris SG
Alan Dzagoev,CAM,2014,89,78,77,60,77,81,Real Madrid
Jordan Henderson,CAM,2022,79,73,70,83,77,88,Bayern Munich
Karim Keïta,LB,2014,75,63,56,92,96,88,Real Madrid
Fernando Gago,CAM,2018,84,73,80,75,89,96,Barcelona
Daniel Alves,CAM,2006,80,88,75,61,86,96,Manchester United
João Cancelo,CM,2014,87,73,86,63,95,83,Chelsea
Pedri,ST,2006,94,95,87,58,94,91,Paris SG
Seydou Keïta,LW,2022,85,82,89,36,84,94,Liverpool
Toby Alderweireld,RB,2014,90,63,54,92,80,87,Bayern Munich
Jorge Valdivia,ST,2018,93,83,84,59,84,80,Inter Milan
Maximiliano Rodríguez,LW,2006,88,93,95,52,82,98,Bayern Munich
Luis Enrique,ST,2006,87,75,83,32,91,96,Manchester United
Rui Patrício,ST,2022,89,75,90,39,80,82,Inter Milan
Éric Cantona,ST,2014,89,81,83,59,78,87,Liverpool
Guido Rodriguez,CAM,2022,92,84,73,70,97,97,Manchester United
Benjamin Pavard,CAM,2018,88,89,65,63,78,93,Liverpool
Trevor Brooking,CDM,2022,94,88,65,63,86,94,Liverpool
Laurent Blanc,CDM,2022,91,72,81,72,88,79,Napoli
Mats Hummels,CAM,2018,91,79,76,80,80,95,Bayern Munich
Jackson Martinez,CDM,2006,92,85,82,75,96,95,Chelsea
Abedi Ayew,GK,2014,75,39,43,97,97,80,Bayern Munich
Giorgian de Arrascaeta,ST,2014,96,80,95,29,91,92,Paris SG
Emmanuel Macron,CDM,2010,79,92,67,77,91,95,Liverpool
Alvaro Morata,CAM,2006,86,76,71,84,89,93,Barcelona
Medhi Benatia,CDM,2006,94,84,83,70,89,88,AC Milan
Kingsley Coman,CAM,2022,88,71,67,72,95,78,Bayern Munich
Yaya Touré,ST,2022,83,89,82,31,81,93,Inter Milan
Kepa Arrizabalaga,CAM,2014,89,84,79,75,86,84,Paris SG
N'Golo Kante,CDM,2010,92,78,68,84,88,95,Chelsea
Sandro,ST,2006,95,88,98,32,75,89,Inter Milan
Jan Koller,CB,2010,84,71,52,90,93,87,Paris SG
Steven Pienaar,CM,2010,94,87,72,84,93,97,Real Madrid
Sergei Rebrov,LW,2006,94,84,94,25,92,98,Juventus
Sander Westerveld,CAM,2006,87,84,88,85,76,92,Manchester United
Alexis Mac Allister,LB,2022,85,80,61,91,92,90,Chelsea
Ghighlione Carlos,GK,2010,71,41,40,96,93,91,Inter Milan
Ronaldinho Gaucho,ST,2010,94,84,88,29,88,95,Napoli
Pele,GK,2006,71,53,23,90,76,92,Barcelona
Vinícius Júnior,RB,2010,77,61,58,94,91,84,Paris SG
Ivan Perisic,RB,2006,78,77,63,92,80,89,Chelsea
Marco Materazzi,CM,2006,86,85,80,76,79,84,Juventus
Ronnie Whelan,LB,2014,79,65,54,94,83,92,Real Madrid
Mark van Bommel,GK,2014,80,45,20,96,95,78,Real Madrid
Réduan Amrani,CAM,2022,82,77,66,69,84,78,Inter Milan
Nicolas Anelka,LB,2018,77,74,50,94,84,85,Paris SG
Julian Draxler,GK,2006,73,48,26,94,86,97,Real Madrid
Mario Mandzukic,CM,2006,79,75,85,75,90,94,Inter Milan
Júlio Cesar,CDM,2006,79,70,73,84,87,80,Juventus
Gio Simeone,LB,2018,87,75,65,89,80,88,AC Milan
José Fonte,ST,2010,89,90,83,33,86,92,Juventus
Franz Beckenbauer,LB,2018,78,74,46,85,79,96,Juventus
Massimo Oddo,CAM,2006,81,71,77,76,98,97,Real Madrid
Samir Nasri,LW,2014,86,79,92,52,88,87,Chelsea
Cristian Romero,ST,2014,93,78,82,35,94,90,Manchester United
Curtis Jones,LW,2014,91,79,93,25,98,94,Barcelona
Cesar Azpilicueta,ST,2006,93,80,86,41,96,95,Real Madrid
Gonzalo Jara,LB,2006,84,61,57,92,88,81,Napoli
Inigo Martinez,LB,2006,76,76,51,95,91,81,Inter Milan
João Pinto,CM,2006,90,87,80,68,75,85,AC Milan
Nico Williams,GK,2018,75,39,22,92,93,85,Juventus
George Weah,ST,2006,82,91,93,53,97,87,AC Milan
Nery Pumpido,GK,2010,70,52,41,95,82,85,Juventus
Frederic Kanoute,LB,2018,87,73,58,86,96,84,Inter Milan
Éder Militão,LW,2006,96,94,95,43,85,90,Barcelona
Julián Montes,CDM,2010,84,70,77,67,76,84,AC Milan
Mohamed Aboutrika,GK,2014,81,34,23,94,78,89,Napoli
Boubakary Soumare,LB,2022,88,80,60,88,92,80,Paris SG
Teófilo Cubillas,CAM,2018,84,81,87,77,97,92,Manchester United
Julio Cesar,LW,2010,89,91,90,56,87,86,Inter Milan
Filippo Inzaghi,LB,2010,89,80,69,99,79,94,Paris SG
Mikaël Silvestre,CDM,2014,81,90,84,82,83,97,Napoli
Juan Mata,LW,2018,96,93,91,33,91,86,Barcelona
Emlyn Hughes,RB,2018,88,79,65,98,80,97,Arsenal
Jordi Alba,ST,2018,84,82,94,42,94,90,Paris SG
Brad Friedel,GK,2010,72,32,45,93,84,83,Liverpool
Claudio Reyna,LW,2018,85,86,87,46,92,96,Bayern Munich
Nuno Gomes,LB,2010,84,79,67,87,87,90,Barcelona
Stéphane Henchoz,CDM,2006,79,82,78,78,77,81,Juventus
Wim Kieft,LW,2022,96,76,93,46,85,87,Paris SG
Sasa Ilic,CB,2022,83,65,68,94,86,87,AC Milan
Carles Puyol,CM,2010,86,86,88,64,82,88,Napoli
Danilo Carrillo,ST,2014,93,77,91,54,92,91,Arsenal
Rodrygo Goes,CDM,2014,85,81,76,60,82,98,Bayern Munich
Alisson Becker,RB,2022,81,73,58,99,87,98,Chelsea
Jader Obrian,GK,2010,72,36,39,90,97,89,Inter Milan
Marco Asensio,ST,2022,91,87,98,28,86,78,Arsenal
Serhiy Rebrov,CAM,2022,87,77,70,85,75,79,Liverpool
John O'Shea,CAM,2014,83,92,66,70,78,90,Juventus
Alexis Sánchez,CB,2014,90,77,59,90,82,97,Manchester United
Angelos Charisteas,LB,2010,90,79,58,86,76,85,Paris SG
Nani,RB,2006,77,72,63,91,89,85,Napoli
Thibaut Courtois,CM,2018,94,89,65,61,89,78,Inter Milan
Lucas Hernandez,CAM,2006,88,91,79,76,92,87,Juventus
David Villa,CDM,2014,79,73,77,63,97,87,Juventus
Jaap Stam,CB,2010,79,76,52,98,92,80,Napoli
Marcus Tutte,GK,2006,74,45,33,92,93,95,Liverpool
Adriano,LW,2006,88,79,97,25,94,81,Barcelona
Wilfried Bony,CM,2006,82,72,76,82,88,78,Juventus
Mark Lawrenson,LB,2018,77,74,70,87,96,86,Juventus
Ulreich Sven,CDM,2010,83,72,85,79,83,80,Real Madrid
Hany Ramadan,CAM,2022,91,73,71,70,91,84,Liverpool
Marta,GK,2010,81,49,30,88,80,95,Barcelona
Oguchi Onyewu,LB,2006,90,71,46,87,76,92,Real Madrid
Florian Thauvin,CDM,2006,92,74,83,82,76,98,Napoli
Ousmane Dembélé,CAM,2022,79,73,77,85,76,82,Napoli
Daniele De Rossi,CAM,2010,89,89,86,66,81,93,Liverpool
Hulk,LB,2018,89,80,46,96,89,93,Barcelona
Rivaldo,CAM,2010,80,71,78,82,77,83,Barcelona
Mario Gomez,RB,2014,75,75,47,93,85,87,Manchester United
Gonzalo Higuaín,ST,2022,88,78,84,35,94,82,Paris SG
Alfredo Di Stéfano,ST,2022,83,91,84,54,98,96,Chelsea
Sadio Mane,RB,2018,89,77,57,85,88,89,Juventus
Martin Benitez,CM,2022,88,76,85,67,76,81,Paris SG
Rúben Dias,GK,2014,73,52,21,89,87,97,Arsenal
Mark Hughes,CAM,2006,88,87,74,83,87,96,Manchester United
Hernandez Hugo,CM,2014,88,79,77,82,77,80,Paris SG
Florian Neuhaus,CAM,2014,80,82,80,70,91,91,Arsenal
Gigi Donnarumma,CDM,2022,93,86,70,70,77,92,Juventus
Aymeric Laporte,ST,2006,88,80,98,51,75,97,Bayern Munich
Mauro Camoranesi,ST,2022,86,95,93,34,84,96,Juventus
Vilson Vilela,CDM,2022,82,90,72,77,82,84,Manchester United
Acuña Marcos,CAM,2022,79,80,87,72,84,83,Chelsea
Shay Given,LW,2022,87,91,86,45,80,97,Real Madrid
Mason Mount,RB,2006,82,70,46,94,86,90,Real Madrid
John Terry,LB,2022,77,62,64,89,93,78,Real Madrid
Diego Forlan,LW,2022,82,78,84,45,97,94,Arsenal
Macoumba Kandji,CB,2010,79,70,49,95,96,85,Bayern Munich
Wesley Sneijder,CM,2022,90,92,83,85,85,79,Chelsea
Jay DeMerit,CDM,2010,83,90,68,85,96,82,Chelsea
David Trezeguet,CB,2014,89,77,55,86,81,95,Arsenal
Samuel Umtiti,CDM,2014,92,91,88,70,77,86,Inter Milan
Wes Brown,LB,2006,82,70,61,97,87,85,Arsenal
Blaise Matuidi,ST,2022,91,88,85,53,90,95,Napoli
Isco Alarcon,ST,2022,82,87,90,41,77,80,Real Madrid
Manuel Neuer,CB,2018,89,69,68,96,95,90,Juventus
Jesus Navas,CB,2006,81,60,55,96,79,92,Manchester United
Franck Ribéry,CDM,2006,85,80,73,75,91,96,Chelsea
Raúl González,CAM,2022,94,83,76,76,92,87,Arsenal
Ferran Torres,CAM,2006,80,88,77,77,84,85,Real Madrid
William Carvalho,ST,2022,82,77,98,27,97,97,Napoli
Enzo Fernandez,CDM,2022,79,76,73,62,76,85,Arsenal
Roger Milla,RB,2010,76,66,59,90,89,89,Bayern Munich
Giancarlo Antognoni,CB,2014,84,61,45,94,97,79,Bayern Munich
Marko Milic,RB,2018,87,80,47,90,88,91,Inter Milan
Patrick Vieira,LB,2018,81,65,52,99,78,80,Real Madrid
William Gallas,CM,2006,82,75,75,75,84,98,Inter Milan
Dayot Upamecano,ST,2010,84,92,84,53,89,98,Manchester United
Lucas Hernández,LW,2006,96,85,93,50,88,88,AC Milan
Oscar,RB,2010,83,65,58,89,75,92,AC Milan
Vincent Kompany,CM,2014,86,88,67,76,93,93,Napoli
Djibril Cissé,CM,2018,78,78,66,71,87,86,Barcelona
Diego Forlán,RB,2018,83,65,58,90,92,96,Paris SG
Sergio Batista,CDM,2014,94,80,88,69,86,88,Inter Milan
Andrea Pirlo,CM,2006,87,77,68,68,83,89,AC Milan
Pepe,CB,2022,80,60,67,92,92,91,Bayern Munich
Dedryck Boyata,CM,2022,81,91,68,65,75,87,Real Madrid
Giorgio Chiellini,CAM,2010,84,73,68,78,96,85,Paris SG
Victor Valdés,CAM,2022,90,82,81,76,80,84,Chelsea
Ronaldo Nazário,LB,2010,88,71,68,89,76,82,Paris SG
Steve Mandanda,RB,2010,89,70,57,86,87,97,Juventus
Karl-Heinz Rummenigge,RB,2010,77,66,46,91,87,85,Manchester United
Kevin Keegan,LB,2006,79,77,70,87,84,92,Chelsea
Naohiro Takahara,CM,2006,78,86,86,80,76,95,Paris SG
Domingos Duarte,LW,2022,86,80,97,49,76,85,Real Madrid
Pau Torres,CB,2018,82,63,67,98,90,88,Manchester United
Garrincha,LW,2014,94,79,82,37,75,95,Liverpool
David Luiz,GK,2006,74,34,31,90,85,82,Real Madrid
Francesco Totti,CB,2022,85,61,58,88,96,88,Inter Milan
Jerome Boateng,RB,2006,80,63,58,98,76,81,Liverpool
Ederson Moraes,ST,2022,86,87,83,54,86,79,Juventus
Fabrice Barthez,LB,2010,81,68,58,98,85,97,Barcelona
Sergio Ramos,CB,2006,80,78,46,89,79,98,AC Milan
Hatem Ben Arfa,RB,2006,90,78,47,95,91,94,Chelsea
Roberto Ayala,CM,2010,81,72,65,62,98,78,Liverpool
Lionel Messi,LW,2014,86,75,86,46,92,87,Juventus
Damiano Doni,ST,2018,91,94,94,44,98,87,Napoli
Emiliano Martínez,CAM,2006,89,86,67,71,84,92,AC Milan
Robinho,CM,2006,82,76,74,62,97,92,Barcelona
Rio Ferdinand,CAM,2018,82,87,81,62,97,87,Manchester United
Ahmed Hassan,CDM,2018,90,74,88,83,75,91,Chelsea
Stan Collymore,RB,2022,77,80,59,96,80,84,Bayern Munich
Gabriel Jesus,LW,2010,94,92,83,57,89,97,Arsenal
Stephan Henchoz,CM,2010,89,92,69,68,91,96,Bayern Munich
Phil Neville,CDM,2022,86,91,88,80,98,93,AC Milan
Xavi Hernandez,CAM,2022,93,86,84,79,89,95,Barcelona
Eusebio,ST,2014,88,86,88,40,98,87,Inter Milan
João Félix,LW,2010,91,91,94,34,93,80,Juventus
Joao Cancelo,LB,2010,89,62,62,87,83,97,Barcelona
Rui Costa,LB,2022,86,71,65,95,89,91,Inter Milan
Barry Davies,CM,2018,78,78,66,65,94,91,Juventus
Trent Alexander-Arnold,ST,2014,83,91,91,30,84,87,Paris SG
Roy Keane,LW,2014,88,83,90,29,95,81,Liverpool
Eric Cantona,CM,2022,80,83,84,62,92,85,AC Milan
Fernando Torres,CDM,2022,84,79,67,75,84,80,Bayern Munich
Aurelien Tchouameni,CAM,2022,79,81,82,67,81,82,AC Milan
Dennis Bergkamp,ST,2006,95,83,95,25,81,95,Juventus
Sergio Agüero,LW,2018,95,75,97,34,88,96,Real Madrid
Ruben Dias,LB,2018,86,71,53,95,85,86,Real Madrid
Giacinto Facchetti,RB,2014,77,71,56,85,88,78,Paris SG
Philippe Coutinho,LB,2022,76,69,69,92,94,84,Juventus
Michu,CAM,2018,85,78,78,77,93,96,Juventus
Ray Clemence,CAM,2018,81,70,80,84,84,93,Arsenal
Ronaldinho Gaúcho,GK,2010,78,42,28,99,77,81,Liverpool
Nicolás Otamendi,LW,2010,84,93,84,36,91,86,Paris SG
Felix Götze,CDM,2006,84,92,83,68,83,87,Inter Milan
Leroy Sané,RB,2014,83,77,66,88,89,88,Manchester United
Robbie Keane,CM,2018,91,88,87,79,85,95,Liverpool
Aleksandar Kolarov,ST,2010,82,75,97,50,96,97,Chelsea
Thiago Silva,CAM,2018,82,80,70,62,93,86,Liverpool
Xavi Hernández,CAM,2006,93,84,85,72,75,86,Arsenal
Bastian Schweinsteiger,CM,2018,89,91,72,65,93,96,Real Madrid
Juan Riquelme,LW,2010,95,94,91,26,94,84,Real Madrid
Youri Djorkaeff,ST,2018,92,93,89,39,98,91,Manchester United
Essam El-Hadary,ST,2022,83,92,94,26,77,87,Liverpool
Alan Hansen,ST,2014,96,87,97,34,83,84,Liverpool
Holger Badstuber,CAM,2006,91,74,69,78,92,97,Liverpool
Cafu,CAM,2022,90,79,77,77,88,81,Inter Milan
Carlos Tévez,LW,2006,92,86,84,26,95,81,Liverpool
Nélson Semedo,ST,2010,89,87,84,47,95,78,Bayern Munich
Jérôme Boateng,CM,2006,86,78,67,76,83,90,Real Madrid
Luka Modrić,LB,2018,83,62,47,97,95,90,AC Milan
Leon Goretzka,LB,2006,81,72,56,93,77,88,Liverpool
Robert Pires,RB,2010,76,70,51,87,79,98,Arsenal
Philipp Lahm,LW,2014,86,77,82,30,94,85,AC Milan
David de Gea,CM,2006,91,73,87,60,75,91,Real Madrid
Youri Tielemans,CM,2006,90,92,88,63,93,78,Napoli
Sepp Maier,LW,2010,83,87,90,43,93,91,Napoli
Julian Alvarez,LW,2006,90,77,85,58,95,87,Juventus
Gonzalo Montiel,CAM,2018,79,76,88,60,94,81,Inter Milan
Sandro Mazzola,LB,2022,78,63,46,86,94,82,Manchester United
Özil Mesut,CAM,2018,92,73,74,70,93,88,Liverpool
Álvaro Morata,ST,2006,86,82,88,43,87,92,Bayern Munich
David Silva,CM,2022,79,76,78,65,78,97,Bayern Munich
Gökhan Inler,ST,2006,86,76,96,45,84,82,Paris SG
Alphonso Davies,LB,2006,81,63,54,93,75,89,Barcelona
Luis Fernando Muriel,CAM,2006,89,83,84,63,85,97,Liverpool
Aurélien Tchouaméni,CAM,2014,88,75,81,83,97,82,Arsenal
