====================================================================================================
HERMANILAND FOOTBALL DRAFT GAME - PLAYER DATABASE
Complete roster of 7500 professional players from all eras
====================================================================================================

SOURCES:
- Football Legends (506 players from all eras)
- Champions League & Copa Libertadores (last 20 years, 319 players)
- World Cup squads (2006-2022, 499 players)
- Variants generated to reach 7500 total

POSITION DISTRIBUTION:
  CAM: 1000 ( 13.3%)
  CB:  667 (  8.9%)
  CDM: 1000 ( 13.3%)
  CM: 1000 ( 13.3%)
  GK:  502 (  6.7%)
  LB:  667 (  8.9%)
  LW:  998 ( 13.3%)
  RB:  668 (  8.9%)
  ST:  998 ( 13.3%)

====================================================================================================
COMPLETE PLAYER ROSTER
====================================================================================================

   1. Andres Iniesta                      | LB  | 2022 | SPD:83 DRB:77 SHO:58 DEF:92 PHY:77 IQ:89 | Napoli
  39. Gonzalo Higuain                     | LB  | 2010 | SPD:85 DRB:71 SHO:51 DEF:99 PHY:98 IQ:97 | Paris SG
  40. Luka Modric                         | CB  | 2022 | SPD:89 DRB:80 SHO:67 DEF:92 PHY:93 IQ:93 | Arsenal
  41. Villasanti Diego                    | CM  | 2022 | SPD:78 DRB:82 SHO:79 DEF:81 PHY:85 IQ:94 | Paris SG
  42. Valentin Azmayev                    | CM  | 2022 | SPD:81 DRB:72 SHO:85 DEF:82 PHY:77 IQ:94 | Bayern Munich
  43. Néstor Clausen                      | CDM | 2010 | SPD:84 DRB:75 SHO:84 DEF:62 PHY:91 IQ:98 | Chelsea
  44. Cristiano Ronaldo                   | CB  | 2018 | SPD:83 DRB:76 SHO:60 DEF:90 PHY:90 IQ:78 | Bayern Munich
  45. Bacary Sagna                        | CDM | 2006 | SPD:79 DRB:79 SHO:70 DEF:61 PHY:86 IQ:93 | Bayern Munich
  46. Sagna                               | RB  | 2018 | SPD:84 DRB:64 SHO:53 DEF:92 PHY:83 IQ:84 | Chelsea
  47. Olivier Kapo                        | LW  | 2018 | SPD:88 DRB:76 SHO:93 DEF:38 PHY:75 IQ:93 | Real Madrid
  48. Steve McManaman                     | CB  | 2018 | SPD:76 DRB:71 SHO:55 DEF:88 PHY:90 IQ:78 | Manchester United
  49. Simão Sabrosa                       | RB  | 2014 | SPD:81 DRB:63 SHO:51 DEF:97 PHY:82 IQ:91 | Chelsea
  50. Franck Ribery                       | RB  | 2006 | SPD:90 DRB:79 SHO:59 DEF:93 PHY:76 IQ:89 | Barcelona
  51. Hans-Jürgen Cramer                  | CM  | 2022 | SPD:86 DRB:89 SHO:87 DEF:62 PHY:86 IQ:90 | AC Milan
  52. Raúl Meireles                       | CB  | 2010 | SPD:86 DRB:70 SHO:57 DEF:94 PHY:82 IQ:96 | Napoli
  53. Papiss Cissé                        | RB  | 2014 | SPD:80 DRB:74 SHO:68 DEF:97 PHY:89 IQ:85 | Inter Milan
  54. Frédéric Kanoute                    | CB  | 2014 | SPD:90 DRB:64 SHO:50 DEF:91 PHY:83 IQ:93 | Juventus
  55. Sergio Romero                       | CM  | 2018 | SPD:80 DRB:77 SHO:77 DEF:74 PHY:94 IQ:93 | Juventus
  56. Luis Suárez                         | RB  | 2006 | SPD:88 DRB:70 SHO:50 DEF:85 PHY:79 IQ:94 | Manchester United
  57. Juan Manuel Ibarbo                  | CM  | 2010 | SPD:83 DRB:83 SHO:86 DEF:76 PHY:84 IQ:95 | Arsenal
  58. Mario Gómez                         | CDM | 2018 | SPD:88 DRB:81 SHO:85 DEF:61 PHY:81 IQ:91 | Manchester United
  59. Bruno Fernandes                     | LB  | 2018 | SPD:85 DRB:77 SHO:70 DEF:95 PHY:93 IQ:93 | Chelsea
  60. Matías Fernández                    | LB  | 2006 | SPD:76 DRB:76 SHO:63 DEF:94 PHY:84 IQ:93 | Juventus
  61. Elías Figueroa                      | CM  | 2022 | SPD:93 DRB:76 SHO:74 DEF:66 PHY:84 IQ:86 | Liverpool
  62. David Alaba                         | LW  | 2018 | SPD:93 DRB:83 SHO:84 DEF:46 PHY:87 IQ:78 | Manchester United
  63. Stefan Mitrović                     | CDM | 2014 | SPD:90 DRB:80 SHO:66 DEF:70 PHY:75 IQ:88 | Barcelona
  64. Roberto Firmino                     | CDM | 2014 | SPD:84 DRB:78 SHO:88 DEF:62 PHY:76 IQ:97 | Real Madrid
  65. Bruno Alves                         | CDM | 2010 | SPD:91 DRB:79 SHO:68 DEF:66 PHY:95 IQ:92 | Liverpool
  66. Lucas Paqueta                       | ST  | 2022 | SPD:91 DRB:76 SHO:88 DEF:33 PHY:80 IQ:95 | Napoli
  67. Abelardo Fernandez                  | CDM | 2018 | SPD:90 DRB:71 SHO:72 DEF:80 PHY:94 IQ:90 | Napoli
  68. Lopes Anthony                       | LB  | 2010 | SPD:86 DRB:68 SHO:53 DEF:90 PHY:86 IQ:80 | Napoli
  69. Mateja Kezman                       | LW  | 2022 | SPD:86 DRB:78 SHO:85 DEF:32 PHY:78 IQ:84 | Inter Milan
  70. Frederic Kanouté                    | CAM | 2006 | SPD:80 DRB:91 SHO:87 DEF:62 PHY:84 IQ:90 | Chelsea
  71. Luis Suarez                         | CM  | 2010 | SPD:80 DRB:78 SHO:88 DEF:85 PHY:96 IQ:85 | Liverpool
  72. Robbie Fowler                       | CDM | 2014 | SPD:81 DRB:75 SHO:88 DEF:72 PHY:75 IQ:85 | Inter Milan
  73. Andrey Arshavin                     | RB  | 2014 | SPD:82 DRB:75 SHO:61 DEF:85 PHY:98 IQ:89 | Chelsea
  74. Gueule de Bois                      | ST  | 2014 | SPD:87 DRB:87 SHO:91 DEF:26 PHY:84 IQ:89 | Juventus
  75. Radamel Falcao                      | CDM | 2022 | SPD:84 DRB:78 SHO:85 DEF:73 PHY:76 IQ:82 | Manchester United
  76. Thomas Müller                       | CM  | 2022 | SPD:94 DRB:70 SHO:66 DEF:74 PHY:95 IQ:91 | AC Milan
  77. Kolo Touré                          | LB  | 2006 | SPD:84 DRB:66 SHO:63 DEF:86 PHY:86 IQ:92 | Arsenal
  78. Alessandro Nesta                    | LB  | 2010 | SPD:80 DRB:77 SHO:46 DEF:95 PHY:95 IQ:94 | Bayern Munich
  79. Ngolo Kante                         | ST  | 2010 | SPD:83 DRB:76 SHO:97 DEF:36 PHY:83 IQ:94 | Barcelona
  80. Joel Matip                          | LW  | 2014 | SPD:86 DRB:91 SHO:89 DEF:26 PHY:81 IQ:86 | Liverpool
  81. Thilo Kehrer                        | CAM | 2018 | SPD:86 DRB:82 SHO:74 DEF:79 PHY:94 IQ:98 | Juventus
  82. Ricardo Quaresma                    | CM  | 2014 | SPD:92 DRB:71 SHO:72 DEF:63 PHY:77 IQ:88 | Bayern Munich
  83. Dirk Kuyt                           | RB  | 2010 | SPD:83 DRB:71 SHO:70 DEF:88 PHY:77 IQ:89 | Napoli
  84. Sylvain Wiltord                     | GK  | 2014 | SPD:81 DRB:55 SHO:20 DEF:92 PHY:83 IQ:86 | Liverpool
  85. Carvajal                            | LW  | 2018 | SPD:85 DRB:80 SHO:98 DEF:49 PHY:92 IQ:80 | Manchester United
  86. Gonzalo Bergessio                   | CAM | 2014 | SPD:88 DRB:88 SHO:81 DEF:81 PHY:85 IQ:89 | Barcelona
  87. Gennaro Gattuso                     | ST  | 2006 | SPD:83 DRB:81 SHO:90 DEF:36 PHY:87 IQ:88 | Paris SG
  88. Carlos Tevez                        | ST  | 2014 | SPD:88 DRB:90 SHO:88 DEF:38 PHY:97 IQ:95 | Juventus
  89. Henrique Neguinho                   | LB  | 2014 | SPD:87 DRB:60 SHO:53 DEF:97 PHY:89 IQ:79 | Chelsea
  90. Aleksandr Smertin                   | LW  | 2014 | SPD:85 DRB:84 SHO:92 DEF:54 PHY:80 IQ:89 | Liverpool
  91. Hugo Lloris                         | ST  | 2010 | SPD:83 DRB:76 SHO:88 DEF:55 PHY:77 IQ:91 | Juventus
  92. Andrés D'Alessandro                 | LB  | 2018 | SPD:75 DRB:75 SHO:60 DEF:93 PHY:86 IQ:97 | Inter Milan
  93. Gary Neville                        | ST  | 2010 | SPD:85 DRB:90 SHO:87 DEF:56 PHY:97 IQ:96 | Liverpool
  94. Angel Di Maria                      | CM  | 2006 | SPD:86 DRB:83 SHO:85 DEF:61 PHY:87 IQ:85 | Arsenal
  95. Rodri                               | CB  | 2006 | SPD:85 DRB:61 SHO:50 DEF:85 PHY:95 IQ:88 | Chelsea
  96. Ismaël Bangoura                     | CB  | 2018 | SPD:82 DRB:60 SHO:66 DEF:87 PHY:87 IQ:87 | Liverpool
  97. Steve Heighway                      | CAM | 2018 | SPD:90 DRB:82 SHO:77 DEF:76 PHY:93 IQ:90 | Real Madrid
  98. Joshua Kimmich                      | ST  | 2014 | SPD:93 DRB:82 SHO:87 DEF:26 PHY:94 IQ:83 | Manchester United
  99. Mathieu Valbuena                    | CM  | 2022 | SPD:82 DRB:77 SHO:75 DEF:75 PHY:78 IQ:79 | Arsenal
 100. Ángel Di María                      | CB  | 2010 | SPD:76 DRB:68 SHO:59 DEF:97 PHY:95 IQ:93 | Napoli
 101. Danilo                              | ST  | 2018 | SPD:89 DRB:78 SHO:83 DEF:27 PHY:78 IQ:86 | Real Madrid
 102. Therry Henry                        | CM  | 2014 | SPD:90 DRB:86 SHO:69 DEF:63 PHY:82 IQ:81 | Napoli
 103. Marco van Basten                    | LB  | 2006 | SPD:81 DRB:71 SHO:69 DEF:88 PHY:80 IQ:89 | Real Madrid
 104. Demps                               | LW  | 2014 | SPD:89 DRB:78 SHO:90 DEF:55 PHY:85 IQ:88 | Inter Milan
 105. Agustin Fontana                     | RB  | 2014 | SPD:83 DRB:79 SHO:55 DEF:95 PHY:85 IQ:81 | Chelsea
 106. Mario Mandic                        | LW  | 2006 | SPD:85 DRB:89 SHO:92 DEF:36 PHY:93 IQ:78 | Inter Milan
 107. Shunsuke Nakamura                   | RB  | 2006 | SPD:80 DRB:73 SHO:51 DEF:99 PHY:93 IQ:84 | Paris SG
 108. Ronaldo Nazario                     | LW  | 2014 | SPD:93 DRB:94 SHO:85 DEF:29 PHY:88 IQ:91 | Liverpool
 109. Romário                             | CDM | 2018 | SPD:87 DRB:84 SHO:76 DEF:76 PHY:83 IQ:92 | Juventus
 110. Renan Lodi                          | CM  | 2006 | SPD:87 DRB:73 SHO:73 DEF:71 PHY:79 IQ:89 | Barcelona
 111. João Moutinho                       | LW  | 2014 | SPD:85 DRB:83 SHO:85 DEF:39 PHY:79 IQ:91 | Chelsea
 112. Eden Hazard                         | CB  | 2014 | SPD:81 DRB:67 SHO:60 DEF:94 PHY:98 IQ:85 | Manchester United
 113. Sergio Livingstone                  | CB  | 2022 | SPD:90 DRB:72 SHO:60 DEF:88 PHY:93 IQ:98 | Manchester United
 114. Uli Hoeness                         | CAM | 2014 | SPD:87 DRB:76 SHO:73 DEF:68 PHY:92 IQ:82 | Bayern Munich
 115. Claudio Bravo                       | CB  | 2014 | SPD:82 DRB:74 SHO:50 DEF:96 PHY:86 IQ:98 | Real Madrid
 116. Stam Jaap                           | CDM | 2018 | SPD:93 DRB:75 SHO:70 DEF:75 PHY:86 IQ:88 | Paris SG
 117. Álvaro González                     | CDM | 2014 | SPD:86 DRB:82 SHO:73 DEF:67 PHY:90 IQ:87 | Napoli
 118. Ali Daei                            | RB  | 2018 | SPD:76 DRB:64 SHO:62 DEF:92 PHY:90 IQ:82 | AC Milan
 119. Naby Keita                          | RB  | 2010 | SPD:79 DRB:60 SHO:66 DEF:87 PHY:85 IQ:94 | Juventus
 120. Harvey Elliott                      | CB  | 2018 | SPD:87 DRB:69 SHO:56 DEF:85 PHY:82 IQ:84 | Arsenal
 121. Thomas Muller                       | RB  | 2014 | SPD:84 DRB:68 SHO:65 DEF:98 PHY:89 IQ:91 | Real Madrid
 122. Serge Gnabry                        | CB  | 2010 | SPD:89 DRB:77 SHO:62 DEF:94 PHY:85 IQ:90 | Chelsea
 123. Fernandinho                         | ST  | 2018 | SPD:83 DRB:86 SHO:94 DEF:51 PHY:85 IQ:94 | Arsenal
 124. Alejandro Balde                     | RB  | 2018 | SPD:78 DRB:74 SHO:45 DEF:89 PHY:77 IQ:96 | Manchester United
 125. Ousmane N'Doye                      | GK  | 2022 | SPD:82 DRB:52 SHO:45 DEF:91 PHY:96 IQ:90 | Paris SG
 126. Ley Yashin                          | LB  | 2018 | SPD:83 DRB:63 SHO:69 DEF:96 PHY:78 IQ:80 | Real Madrid
 127. Romário Baldé                       | CDM | 2022 | SPD:93 DRB:80 SHO:75 DEF:83 PHY:92 IQ:97 | Arsenal
 128. Marquinhos                          | ST  | 2010 | SPD:92 DRB:92 SHO:93 DEF:57 PHY:81 IQ:89 | Napoli
 129. Peter Crouch                        | CM  | 2006 | SPD:93 DRB:91 SHO:75 DEF:75 PHY:80 IQ:82 | Barcelona
 130. Lisandro Martínez                   | ST  | 2022 | SPD:96 DRB:78 SHO:82 DEF:29 PHY:95 IQ:78 | Paris SG
 131. Kenan Kodro                         | CB  | 2022 | SPD:84 DRB:64 SHO:48 DEF:86 PHY:97 IQ:88 | Real Madrid
 132. Gary Medel                          | CB  | 2018 | SPD:88 DRB:74 SHO:54 DEF:92 PHY:79 IQ:84 | Arsenal
 133. Kaka                                | ST  | 2010 | SPD:85 DRB:75 SHO:84 DEF:39 PHY:86 IQ:98 | Napoli
 134. Craig Johnston                      | LB  | 2018 | SPD:75 DRB:80 SHO:52 DEF:95 PHY:81 IQ:89 | Juventus
 135. Kleberson                           | CM  | 2014 | SPD:84 DRB:91 SHO:85 DEF:84 PHY:91 IQ:96 | Manchester United
 136. Ipiales Jefferson                   | LB  | 2006 | SPD:75 DRB:64 SHO:57 DEF:99 PHY:77 IQ:81 | Barcelona
 137. Landon Donovan                      | CM  | 2022 | SPD:81 DRB:86 SHO:74 DEF:74 PHY:93 IQ:98 | Chelsea
 138. Draxler Julian                      | CB  | 2006 | SPD:89 DRB:66 SHO:45 DEF:97 PHY:96 IQ:94 | Napoli
 139. George Best                         | CB  | 2014 | SPD:86 DRB:75 SHO:60 DEF:94 PHY:92 IQ:82 | Chelsea
 140. Jose Manuel Reina                   | RB  | 2006 | SPD:80 DRB:76 SHO:68 DEF:85 PHY:84 IQ:79 | Liverpool
 141. Frank Lampard                       | LB  | 2006 | SPD:76 DRB:80 SHO:62 DEF:95 PHY:97 IQ:79 | Chelsea
 142. Gianlluigi Buffon                   | LB  | 2022 | SPD:88 DRB:69 SHO:60 DEF:97 PHY:75 IQ:92 | Paris SG
 143. Alphonse Areola                     | LB  | 2022 | SPD:79 DRB:68 SHO:46 DEF:86 PHY:75 IQ:80 | AC Milan
 144. Sergei Ignashevich                  | CDM | 2014 | SPD:91 DRB:75 SHO:85 DEF:70 PHY:80 IQ:95 | Juventus
 145. Peter Beardsley                     | CB  | 2018 | SPD:78 DRB:64 SHO:55 DEF:94 PHY:77 IQ:88 | Arsenal
 146. Vinicius Junior                     | LB  | 2014 | SPD:77 DRB:69 SHO:59 DEF:85 PHY:76 IQ:96 | Real Madrid
 147. Miroslav Stevic                     | CDM | 2010 | SPD:80 DRB:80 SHO:79 DEF:78 PHY:80 IQ:87 | Chelsea
 148. Rinus Michels                       | RB  | 2022 | SPD:82 DRB:76 SHO:47 DEF:90 PHY:93 IQ:89 | Bayern Munich
 149. Raphael Varane                      | LB  | 2022 | SPD:89 DRB:74 SHO:57 DEF:96 PHY:81 IQ:84 | Real Madrid
 150. Antonio Rudiger                     | CAM | 2010 | SPD:94 DRB:73 SHO:82 DEF:63 PHY:76 IQ:81 | AC Milan
 151. Esteban Paredes                     | CAM | 2022 | SPD:89 DRB:83 SHO:66 DEF:72 PHY:82 IQ:96 | Inter Milan
 152. Bixente Lizarazu                    | CAM | 2018 | SPD:94 DRB:86 SHO:80 DEF:78 PHY:80 IQ:81 | Inter Milan
 153. Lucas Paquetá                       | CDM | 2022 | SPD:90 DRB:87 SHO:78 DEF:72 PHY:79 IQ:90 | Juventus
 154. Javier Mascherano                   | CAM | 2014 | SPD:86 DRB:78 SHO:79 DEF:73 PHY:97 IQ:79 | Chelsea
 155. Luís Figo                           | LW  | 2018 | SPD:92 DRB:77 SHO:93 DEF:36 PHY:75 IQ:91 | Bayern Munich
 156. Giorgian Meladze                    | LW  | 2010 | SPD:96 DRB:86 SHO:87 DEF:55 PHY:85 IQ:82 | Paris SG
 157. Nacho Fernandez                     | CDM | 2014 | SPD:91 DRB:78 SHO:86 DEF:82 PHY:80 IQ:96 | Chelsea
 158. Toni Kroos                          | ST  | 2006 | SPD:88 DRB:82 SHO:93 DEF:41 PHY:75 IQ:80 | Inter Milan
 159. David Beckham                       | ST  | 2006 | SPD:88 DRB:78 SHO:82 DEF:60 PHY:93 IQ:94 | Chelsea
 160. Carlos Valderrama                   | CB  | 2022 | SPD:87 DRB:66 SHO:56 DEF:93 PHY:78 IQ:88 | Real Madrid
 161. Paul Ince                           | CAM | 2022 | SPD:90 DRB:90 SHO:88 DEF:77 PHY:91 IQ:91 | AC Milan
 162. Pelé                                | LW  | 2014 | SPD:87 DRB:95 SHO:90 DEF:46 PHY:92 IQ:87 | Chelsea
 163. Savo Milošević                      | LW  | 2022 | SPD:91 DRB:95 SHO:84 DEF:49 PHY:76 IQ:85 | Chelsea
 164. Predrag Djordjevic                  | RB  | 2006 | SPD:77 DRB:67 SHO:51 DEF:94 PHY:90 IQ:96 | Chelsea
 165. Marko Milić                         | LB  | 2010 | SPD:83 DRB:65 SHO:63 DEF:97 PHY:83 IQ:90 | Inter Milan
 166. Ole Gunnar Solskjaer                | GK  | 2010 | SPD:74 DRB:37 SHO:35 DEF:88 PHY:81 IQ:98 | Liverpool
 167. Dimitris Salpigidis                 | CAM | 2006 | SPD:89 DRB:91 SHO:69 DEF:79 PHY:75 IQ:98 | Juventus
 168. Abedi Pele                          | LB  | 2018 | SPD:84 DRB:68 SHO:57 DEF:93 PHY:83 IQ:84 | Bayern Munich
 169. Zinédine Zidane                     | LW  | 2006 | SPD:96 DRB:84 SHO:83 DEF:27 PHY:79 IQ:82 | Paris SG
 170. Ever Banega                         | CAM | 2010 | SPD:80 DRB:89 SHO:87 DEF:75 PHY:95 IQ:91 | Real Madrid
 171. Ricky Alvarez                       | CAM | 2014 | SPD:85 DRB:88 SHO:76 DEF:73 PHY:77 IQ:95 | Real Madrid
 172. Anatolii Kanischev                  | CAM | 2006 | SPD:94 DRB:77 SHO:82 DEF:76 PHY:82 IQ:83 | Real Madrid
 173. José María Basanta                  | CAM | 2022 | SPD:90 DRB:87 SHO:86 DEF:63 PHY:86 IQ:86 | Napoli
 174. Nicolás Lodeiro                     | RB  | 2014 | SPD:89 DRB:61 SHO:45 DEF:85 PHY:94 IQ:95 | Manchester United
 175. Isco                                | CAM | 2006 | SPD:90 DRB:73 SHO:79 DEF:69 PHY:94 IQ:85 | Barcelona
 176. Florian Malouda                     | CAM | 2014 | SPD:83 DRB:84 SHO:74 DEF:74 PHY:78 IQ:98 | Manchester United
 177. Diego Costa                         | GK  | 2010 | SPD:75 DRB:33 SHO:35 DEF:91 PHY:89 IQ:78 | Arsenal
 178. José Manuel Reina                   | LB  | 2014 | SPD:83 DRB:77 SHO:57 DEF:95 PHY:97 IQ:79 | Bayern Munich
 179. Christian Vieri                     | CB  | 2022 | SPD:77 DRB:62 SHO:67 DEF:94 PHY:89 IQ:84 | Manchester United
 180. Karim Benzema                       | GK  | 2010 | SPD:74 DRB:43 SHO:21 DEF:99 PHY:80 IQ:87 | Chelsea
 181. Karl-Heinz Förster                  | CAM | 2010 | SPD:92 DRB:79 SHO:88 DEF:76 PHY:92 IQ:86 | Paris SG
 182. Alan Dzagoev                        | CAM | 2014 | SPD:89 DRB:78 SHO:77 DEF:60 PHY:77 IQ:81 | Real Madrid
 183. Jordan Henderson                    | CAM | 2022 | SPD:79 DRB:73 SHO:70 DEF:83 PHY:77 IQ:88 | Bayern Munich
 184. Karim Keïta                         | LB  | 2014 | SPD:75 DRB:63 SHO:56 DEF:92 PHY:96 IQ:88 | Real Madrid
 185. Fernando Gago                       | CAM | 2018 | SPD:84 DRB:73 SHO:80 DEF:75 PHY:89 IQ:96 | Barcelona
 186. Daniel Alves                        | CAM | 2006 | SPD:80 DRB:88 SHO:75 DEF:61 PHY:86 IQ:96 | Manchester United
 187. João Cancelo                        | CM  | 2014 | SPD:87 DRB:73 SHO:86 DEF:63 PHY:95 IQ:83 | Chelsea
 188. Pedri                               | ST  | 2006 | SPD:94 DRB:95 SHO:87 DEF:58 PHY:94 IQ:91 | Paris SG
 189. Seydou Keïta                        | LW  | 2022 | SPD:85 DRB:82 SHO:89 DEF:36 PHY:84 IQ:94 | Liverpool
 190. Toby Alderweireld                   | RB  | 2014 | SPD:90 DRB:63 SHO:54 DEF:92 PHY:80 IQ:87 | Bayern Munich
 191. Jorge Valdivia                      | ST  | 2018 | SPD:93 DRB:83 SHO:84 DEF:59 PHY:84 IQ:80 | Inter Milan
 192. Maximiliano Rodríguez               | LW  | 2006 | SPD:88 DRB:93 SHO:95 DEF:52 PHY:82 IQ:98 | Bayern Munich
 193. Luis Enrique                        | ST  | 2006 | SPD:87 DRB:75 SHO:83 DEF:32 PHY:91 IQ:96 | Manchester United
 194. Rui Patrício                        | ST  | 2022 | SPD:89 DRB:75 SHO:90 DEF:39 PHY:80 IQ:82 | Inter Milan
 195. Éric Cantona                        | ST  | 2014 | SPD:89 DRB:81 SHO:83 DEF:59 PHY:78 IQ:87 | Liverpool
 196. Guido Rodriguez                     | CAM | 2022 | SPD:92 DRB:84 SHO:73 DEF:70 PHY:97 IQ:97 | Manchester United
 197. Benjamin Pavard                     | CAM | 2018 | SPD:88 DRB:89 SHO:65 DEF:63 PHY:78 IQ:93 | Liverpool
 198. Trevor Brooking                     | CDM | 2022 | SPD:94 DRB:88 SHO:65 DEF:63 PHY:86 IQ:94 | Liverpool
 199. Laurent Blanc                       | CDM | 2022 | SPD:91 DRB:72 SHO:81 DEF:72 PHY:88 IQ:79 | Napoli
 200. Mats Hummels                        | CAM | 2018 | SPD:91 DRB:79 SHO:76 DEF:80 PHY:80 IQ:95 | Bayern Munich
